,Match_Id,cum_run_conceded,cum_ball_thrown,cum_wicket,Player_Id
3650,548368,1553,1183,31.0,9
3708,548373,1591,1209,31.0,9
3731,548375,1616,1227,31.0,9
3823,548383,1648,1251,31.0,9
3858,548386,1669,1278,31.0,9
3870,598003,1701,1304,31.0,9
3951,598010,1722,1324,31.0,9
3985,598013,1749,1349,31.0,9
4043,598018,1777,1375,31.0,9
4078,598021,1789,1400,31.0,9
4144,598027,1813,1424,31.0,9
4249,598036,1845,1448,31.0,9
4283,598039,1859,1472,33.0,9
4355,598045,1909,1496,33.0,9
4391,598048,1938,1514,34.0,9
4473,598055,1963,1532,35.0,9
4509,598058,1984,1550,35.0,9
4557,598062,2011,1574,37.0,9
4605,598066,2028,1598,39.0,9
4700,598074,2076,1622,40.0,9
4760,729284,2089,1628,40.0,9
4819,729294,2112,1646,40.0,9
4879,729304,2127,1658,41.0,9
4924,729312,2153,1682,42.0,9
4969,729320,2185,1706,43.0,9
4994,733976,2189,1712,43.0,9
5075,733990,2199,1718,43.0,9
5145,734002,2237,1742,44.0,9
2,335987,0,0,0.0,10
1807,419145,24,6,0.0,10
3094,548319,43,12,0.0,10
3339,548340,62,24,0.0,10
3893,598005,68,32,0.0,10
4448,598053,70,38,0.0,10
35,335990,0,0,0.0,12
169,336001,17,18,2.0,12
243,336007,51,42,2.0,12
361,336017,90,60,2.0,12
524,336031,109,78,2.0,12
560,336034,130,98,2.0,12
818,392199,134,104,2.0,12
1161,392226,142,110,3.0,12
1198,392229,174,128,4.0,12
1302,392237,176,134,4.0,12
1350,392241,196,146,4.0,12
2099,419169,214,170,6.0,12
2536,501238,220,176,6.0,12
3,335987,0,0,0.0,13
4,335987,0,0,0.0,14
36,335990,38,24,0.0,14
120,335997,67,48,1.0,14
170,336001,109,66,2.0,14
193,336003,138,90,3.0,14
293,336011,162,114,3.0,14
338,336015,184,138,5.0,14
362,336017,220,156,6.0,14
408,336021,241,168,6.0,14
490,336028,256,184,6.0,14
525,336031,284,208,6.0,14
561,336034,317,220,7.0,14
606,336039,343,244,8.0,14
696,392187,366,268,11.0,14
731,392190,373,286,13.0,14
756,392193,410,310,15.0,14
791,392196,447,334,16.0,14
879,392204,483,358,16.0,14
943,392209,508,382,17.0,14
996,392213,535,406,19.0,14
1059,392218,550,424,19.0,14
1199,392229,581,448,19.0,14
1303,392237,616,470,20.0,14
1351,392241,646,494,23.0,14
1373,392243,691,518,23.0,14
1385,392244,717,542,24.0,14
1435,419114,760,566,24.0,14
1471,419117,776,590,25.0,14
1507,419120,819,614,26.0,14
