,Match_Id,Player_Id,cum_run_scored,cum_ball_faced,cum_four,cum_six,cum_dis,cum_run_conceded,cum_ball_thrown,cum_wicket,Batting_Average,Batting_Strike_Rate,Hard_Hitter,Economy_Rate,Bowling_Strike_Rate,Bowling_Average
4541,548327,1,931.0,818.0,100.0,32.0,27.0,171.0,144.0,6.0,34.48148148148148,1.1381418092909537,0.7237163814180929,7.125,24.0,28.5
4644,548332,1,947.0,835.0,101.0,32.0,27.0,171.0,144.0,6.0,35.074074074074076,1.134131736526946,0.7137724550898203,7.125,24.0,28.5
4716,548335,1,953.0,843.0,101.0,32.0,27.0,171.0,144.0,6.0,35.2962962962963,1.1304863582443654,0.7069988137603797,7.125,24.0,28.5
4776,548338,1,977.0,869.0,105.0,32.0,27.0,171.0,144.0,6.0,36.18518518518518,1.1242807825086305,0.7042577675489068,7.125,24.0,28.5
4864,548342,1,1018.0,911.0,110.0,33.0,27.0,198.0,168.0,6.0,37.7037037037037,1.1174533479692645,0.7003293084522503,7.071428571428571,28.0,33.0
4914,548346,1,1019.0,915.0,110.0,33.0,27.0,210.0,174.0,6.0,37.74074074074074,1.1136612021857923,0.6972677595628415,7.241379310344827,29.0,35.0
5068,548353,1,1042.0,936.0,113.0,34.0,27.0,210.0,174.0,6.0,38.592592592592595,1.1132478632478633,0.7008547008547008,7.241379310344827,29.0,35.0
5139,548356,1,1087.0,979.0,118.0,35.0,27.0,249.0,192.0,6.0,40.25925925925926,1.1103166496424923,0.6966292134831461,7.78125,32.0,41.5
5183,548358,1,1103.0,1006.0,119.0,35.0,27.0,249.0,192.0,6.0,40.851851851851855,1.0964214711729623,0.6819085487077535,7.78125,32.0,41.5
5280,548363,1,1139.0,1042.0,123.0,36.0,27.0,249.0,192.0,6.0,42.18518518518518,1.0930902111324377,0.6794625719769674,7.78125,32.0,41.5
5440,548370,1,1153.0,1061.0,124.0,36.0,27.0,249.0,192.0,6.0,42.7037037037037,1.0867106503298776,0.6710650329877474,7.78125,32.0,41.5
5663,548380,1,1155.0,1065.0,124.0,36.0,27.0,249.0,192.0,6.0,42.77777777777778,1.0845070422535212,0.6685446009389672,7.78125,32.0,41.5
1,335987,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,24.0,36.0
100,335991,2,158.0,73.0,10.0,13.0,0.0,0.0,0.0,0.0,158.0,2.164383561643836,1.6164383561643836,9.0,24.0,36.0
243,335998,2,163.0,78.0,11.0,13.0,1.0,0.0,0.0,0.0,163.0,2.08974358974359,1.564102564102564,9.0,24.0,36.0
330,336002,2,187.0,90.0,13.0,15.0,2.0,0.0,0.0,0.0,93.5,2.077777777777778,1.5777777777777777,9.0,24.0,36.0
2114,419149,2,188.0,92.0,13.0,15.0,3.0,0.0,0.0,0.0,62.666666666666664,2.0434782608695654,1.5434782608695652,9.0,24.0,36.0
2202,419153,2,194.0,99.0,13.0,15.0,4.0,0.0,0.0,0.0,48.5,1.9595959595959596,1.4343434343434343,9.0,24.0,36.0
2312,419158,2,239.0,135.0,18.0,17.0,5.0,0.0,0.0,0.0,47.8,1.7703703703703704,1.288888888888889,9.0,24.0,36.0
2432,419163,2,239.0,139.0,18.0,17.0,6.0,0.0,0.0,0.0,39.833333333333336,1.7194244604316546,1.2517985611510791,9.0,24.0,36.0
2496,419166,2,245.0,146.0,19.0,17.0,7.0,0.0,0.0,0.0,35.0,1.678082191780822,1.2191780821917808,9.0,24.0,36.0
2640,501205,2,302.0,202.0,27.0,17.0,7.0,0.0,0.0,0.0,43.142857142857146,1.495049504950495,1.0396039603960396,9.0,24.0,36.0
2794,501212,2,347.0,234.0,31.0,19.0,8.0,0.0,0.0,0.0,43.375,1.482905982905983,1.017094017094017,9.0,24.0,36.0
2864,501215,2,347.0,235.0,31.0,19.0,9.0,0.0,0.0,0.0,38.55555555555556,1.476595744680851,1.0127659574468084,9.0,24.0,36.0
2976,501220,2,428.0,295.0,41.0,21.0,10.0,0.0,0.0,0.0,42.8,1.4508474576271186,0.9830508474576272,9.0,24.0,36.0
3036,501224,2,475.0,328.0,45.0,24.0,11.0,0.0,0.0,0.0,43.18181818181818,1.4481707317073171,0.9878048780487805,9.0,24.0,36.0
3265,501234,2,498.0,347.0,47.0,25.0,12.0,0.0,0.0,0.0,41.5,1.4351585014409223,0.9740634005763689,9.0,24.0,36.0
3352,501238,2,498.0,351.0,47.0,25.0,13.0,0.0,0.0,0.0,38.30769230769231,1.4188034188034189,0.9629629629629629,9.0,24.0,36.0
3463,501243,2,505.0,358.0,48.0,25.0,14.0,0.0,0.0,0.0,36.07142857142857,1.410614525139665,0.9553072625698324,9.0,24.0,36.0
3542,501247,2,542.0,377.0,53.0,27.0,15.0,0.0,0.0,0.0,36.13333333333333,1.4376657824933687,0.9920424403183024,9.0,24.0,36.0
3653,501252,2,543.0,385.0,53.0,27.0,16.0,0.0,0.0,0.0,33.9375,1.4103896103896103,0.9714285714285714,9.0,24.0,36.0
3806,501259,2,565.0,401.0,56.0,27.0,17.0,0.0,0.0,0.0,33.23529411764706,1.4089775561097257,0.9625935162094763,9.0,24.0,36.0
3905,501263,2,597.0,428.0,58.0,29.0,18.0,0.0,0.0,0.0,33.166666666666664,1.394859813084112,0.9485981308411215,9.0,24.0,36.0
3968,501266,2,626.0,440.0,59.0,33.0,19.0,0.0,0.0,0.0,32.94736842105263,1.4227272727272726,0.9863636363636363,9.0,24.0,36.0
4202,548312,2,659.0,477.0,62.0,33.0,20.0,0.0,0.0,0.0,32.95,1.3815513626834381,0.9350104821802935,9.0,24.0,36.0
4320,548317,2,668.0,484.0,64.0,33.0,21.0,0.0,0.0,0.0,31.80952380952381,1.3801652892561984,0.9380165289256198,9.0,24.0,36.0
4672,548333,2,670.0,488.0,64.0,33.0,21.0,0.0,0.0,0.0,31.904761904761905,1.3729508196721312,0.930327868852459,9.0,24.0,36.0
4827,548340,2,685.0,506.0,67.0,33.0,21.0,0.0,0.0,0.0,32.61904761904762,1.3537549407114624,0.9209486166007905,9.0,24.0,36.0
4972,548349,2,695.0,515.0,68.0,33.0,21.0,0.0,0.0,0.0,33.095238095238095,1.3495145631067962,0.912621359223301,9.0,24.0,36.0
5046,548352,2,738.0,553.0,76.0,33.0,21.0,0.0,0.0,0.0,35.142857142857146,1.3345388788426764,0.9077757685352622,9.0,24.0,36.0
5171,548358,2,740.0,561.0,76.0,33.0,21.0,0.0,0.0,0.0,35.23809523809524,1.3190730837789661,0.8948306595365418,9.0,24.0,36.0
5268,548362,2,782.0,605.0,81.0,34.0,21.0,0.0,0.0,0.0,37.23809523809524,1.2925619834710744,0.8727272727272727,9.0,24.0,36.0
5501,548373,2,838.0,649.0,88.0,34.0,21.0,0.0,0.0,0.0,39.904761904761905,1.2912172573189522,0.8567026194144838,9.0,24.0,36.0
5545,548375,2,875.0,678.0,92.0,35.0,21.0,0.0,0.0,0.0,41.666666666666664,1.2905604719764012,0.8525073746312685,9.0,24.0,36.0
5654,548380,2,876.0,683.0,92.0,35.0,21.0,0.0,0.0,0.0,41.714285714285715,1.2825768667642752,0.8462664714494875,9.0,24.0,36.0
5720,548383,2,917.0,726.0,97.0,35.0,21.0,0.0,0.0,0.0,43.666666666666664,1.2630853994490359,0.8236914600550964,9.0,24.0,36.0
10457,598039,2,2143.0,1638.0,220.0,94.0,63.0,0.0,0.0,0.0,34.01587301587302,1.3083028083028083,0.8815628815628815,9.0,24.0,36.0
8119,729288,2,1400.0,1113.0,146.0,56.0,40.0,0.0,0.0,0.0,35.0,1.2578616352201257,0.8265947888589398,9.0,24.0,36.0
8229,729298,2,1467.0,1158.0,150.0,61.0,41.0,0.0,0.0,0.0,35.78048780487805,1.266839378238342,0.8341968911917098,9.0,24.0,36.0
8273,729302,2,1476.0,1168.0,151.0,61.0,42.0,0.0,0.0,0.0,35.142857142857146,1.2636986301369864,0.8304794520547946,9.0,24.0,36.0
8348,729308,2,1482.0,1178.0,151.0,61.0,43.0,0.0,0.0,0.0,34.46511627906977,1.2580645161290323,0.8234295415959253,9.0,24.0,36.0
8434,729316,2,1553.0,1231.0,159.0,63.0,43.0,0.0,0.0,0.0,36.116279069767444,1.2615759545085297,0.8237205523964257,9.0,24.0,36.0
8515,733976,2,1593.0,1264.0,162.0,65.0,44.0,0.0,0.0,0.0,36.20454545454545,1.2602848101265822,0.8212025316455697,9.0,24.0,36.0
8632,733986,2,1649.0,1304.0,167.0,67.0,45.0,0.0,0.0,0.0,36.644444444444446,1.2645705521472392,0.8205521472392638,9.0,24.0,36.0
8697,733992,2,1681.0,1339.0,172.0,67.0,46.0,0.0,0.0,0.0,36.54347826086956,1.2554144884241971,0.8140403286034354,9.0,24.0,36.0
8786,734000,2,1714.0,1368.0,175.0,67.0,47.0,0.0,0.0,0.0,36.46808510638298,1.2529239766081872,0.8055555555555556,9.0,24.0,36.0
8877,734008,2,1727.0,1379.0,176.0,68.0,48.0,0.0,0.0,0.0,35.979166666666664,1.252356780275562,0.8063814358230602,9.0,24.0,36.0
8977,734018,2,1733.0,1382.0,176.0,69.0,49.0,0.0,0.0,0.0,35.36734693877551,1.2539797395079595,0.808972503617945,9.0,24.0,36.0
